"title, publication, authors, date, year, month, url, content"
Investigation After Troops Caught Using Corbyn for Target Practice,www.breitbart.com,Noise noise noise!,04-03-2019,2019,4,https://www.breitbart.com/europe/2019/04/03/investigation-troops-caught-using-corbyn-target-practice/#post-21,"Lol, he's got the dildo in his mouth and the pacifier up his whatzit."
Investigation After Troops Caught Using Corbyn for Target Practice,www.breitbart.com,Gemma Tell,04-03-2019,2019,4,https://www.breitbart.com/europe/2019/04/03/investigation-troops-caught-using-corbyn-target-practice/#post-20,"Oh, do go and find yourself a life - I haven't really got the time and inclination to argue the toss with you. You're clearly a snowflake/SJW, most of whom generally aren't worth the bother of conversation.
Good day to you."
Investigation After Troops Caught Using Corbyn for Target Practice,www.breitbart.com,Mike,04-03-2019,2019,4,https://www.breitbart.com/europe/2019/04/03/investigation-troops-caught-using-corbyn-target-practice/#post-19,"You are positively.... the most absolute Ninny Nanny I have ever heard a few mates get together and have a little fun and your first inspiration to it to summon a constable For Christ Sake... no one was harmed.... now was anyone going to be harmed
Except for Britain if that Lunatic Corbyn ever became PM!"
Investigation After Troops Caught Using Corbyn for Target Practice,www.breitbart.com,TJJ,04-03-2019,2019,4,https://www.breitbart.com/europe/2019/04/03/investigation-troops-caught-using-corbyn-target-practice/#post-26,White noise....
Investigation After Troops Caught Using Corbyn for Target Practice,www.breitbart.com,Gemma Tell,04-03-2019,2019,4,https://www.breitbart.com/europe/2019/04/03/investigation-troops-caught-using-corbyn-target-practice/#post-25,"Who are these others you think our armed forces should murder It's not murder, when the crime of which they are guilty, is a capital offence."
Investigation After Troops Caught Using Corbyn for Target Practice,www.breitbart.com,Old Gilet Goat,04-03-2019,2019,4,https://www.breitbart.com/europe/2019/04/03/investigation-troops-caught-using-corbyn-target-practice/#post-27,"Joking aside, Goat...these guys will be put on a charge. This is the face of the faux democratic/egalitarian Britain the globalists always dreamed of."
Investigation After Troops Caught Using Corbyn for Target Practice,www.breitbart.com,Old Gilet Goat,04-03-2019,2019,4,https://www.breitbart.com/europe/2019/04/03/investigation-troops-caught-using-corbyn-target-practice/#post-24,"If it's incitement, why is the lame stream promoting it ? You are being played."
Investigation After Troops Caught Using Corbyn for Target Practice,www.breitbart.com,Russ Wood,04-03-2019,2019,4,https://www.breitbart.com/europe/2019/04/03/investigation-troops-caught-using-corbyn-target-practice/#post-28,"more like brown noise.
See Southpark for reference."
Investigation After Troops Caught Using Corbyn for Target Practice,www.breitbart.com,Old Gilet Goat,04-03-2019,2019,4,https://www.breitbart.com/europe/2019/04/03/investigation-troops-caught-using-corbyn-target-practice/#post-22,Not just soldiers - anyone
Investigation After Troops Caught Using Corbyn for Target Practice,www.breitbart.com,TJJ,04-03-2019,2019,4,https://www.breitbart.com/europe/2019/04/03/investigation-troops-caught-using-corbyn-target-practice/#post-31,Corbyn condones murder by the slimes. All's fair in love and war.
Investigation After Troops Caught Using Corbyn for Target Practice,www.breitbart.com,Old Gilet Goat,04-03-2019,2019,4,https://www.breitbart.com/europe/2019/04/03/investigation-troops-caught-using-corbyn-target-practice/#post-29,Be Quiet!
